,name,con,proper,absmag,newra,newdec,newdist,newmag,spectral_type,temperature
24,Gaia 4037788811843881472,CrA,,-3.114,74.80608228288271,-73.22522399516572,919.9404029389336,6.70479846546078,Undefined,
25,Gaia 4039906643043554304,Sco,,-0.868,128.8727772140111,-63.40370336711384,935.3888456605036,8.98696093360876,Undefined,
26,Gaia 6736592436436107264,Sgr,,-1.988,354.5850734277205,-35.96623959370978,945.846353143145,7.891102968469994,Undefined,
27,Gaia 4052180083389410304,Sgr,,-2.953,292.5762188899511,-19.77446604876837,950.873453696363,6.937613615085285,G,5584.658100627946
28,Gaia 6733890455314980864,Sgr,,-2.346,36.20678543914298,-31.13446836366869,959.0583736533544,7.563225207824184,Undefined,
29,Gaia 4037486858466827264,CrA,,-1.327,79.78332789377309,-46.561927261613455,972.8169248687344,8.61315558880221,F,6983.060554933346
30,Gaia 6733931309045106688,Sgr,,-2.618,38.09267231572435,-23.46241445208485,981.2116957055446,7.340813581029401,Undefined,
31,Gaia 6736101504479456256,Sgr,,-2.546,20.12982537055106,-17.552238359977846,987.2650262224,7.426168762211613,Undefined,
32,Gaia 6733273388779595776,CrA,,-2.68,37.39566955693796,-49.60112938117118,1000.098132240606,7.320213080998073,Undefined,
33,Gaia 4036945490831973376,CrA,,-1.915,112.34753287827633,-71.79425036304849,1008.9165761176976,8.104276286934844,K,3919.552238652914
34,Gaia 4038115710399759360,Sgr,,-0.742,80.82691131524578,-14.775100239104772,1014.9738636831364,9.29027429496864,Undefined,
35,Gaia 4047347798436068864,Sgr,,-1.924,56.11146493856186,15.409814049932956,1029.7203352738884,8.139596447121741,Undefined,
36,Gaia 4039483026224012800,Sgr,,-2.082,86.82576302417907,0.9929323975829418,1038.080355759975,7.999154863479423,Undefined,
37,Gaia 4094795397374086144,Sgr,,-2.48,314.91890342573515,63.49654186730321,1050.7479780457472,7.627492814827203,G,5940.269764295265
38,Gaia 4036718746515296768,Sco,,-2.07,110.15545088791797,-36.70266198535249,1053.3276395949115,8.042817401681074,G,5369.668254881357
39,Gaia 6727746040763980800,CrA,,-2.01,50.03706676415884,-72.33564821677736,1061.6975385360272,8.120004052400185,A,7823.269264272803
40,Gaia 6735260068844337152,Sgr,,-1.4,46.23705590283955,-12.19077168556857,1083.9957363953722,8.775137870128058,Undefined,
41,Gaia 6727040738395412480,CrA,,-2.131,45.17306447208141,-55.7920176297388,1085.3844880320314,8.046918052449865,M,2704.207844288712
